Source,Target
10851,ID07720858
10970,ID96173168
10970,ID72811124
10984,ID54595385
10984,ID22710389
11004,ID35776622
11004,ID54260815
11116,ID48414987
11116,ID71002041
11264,ID50444384
11264,ID76776724
11288,ID86364376
11288,ID88785975
11296,ID48414987
11296,ID10029297
11394,ID64598858
11394,ID34046657
11615,ID73353411
11615,ID57380880
11769,ID05233588
11769,ID06328558
11827,ID45907793
11827,ID25104170
11882,ID69464236
11882,ID47147399
11883,ID69464236
11883,ID47147399
11969,ID81773566
11969,ID69508473
11981,ID92025304
11981,ID83187113
12118,ID59307461
12118,ID64262824
12390,ID61657199
12390,ID30834063
12673,ID73002757
12673,ID75839740
12705,ID77134168
12705,ID81964154
12727,ID19069416
12727,ID29922475
12795,ID69464236
12795,ID83443234
12826,ID87110947
12826,ID89318966
12878,ID40724955
12878,ID24883407
12900,ID61657199
12900,ID30834063
12903,ID03137770
12903,ID49133623
13058,ID04316205
13058,ID60038579
13258,ID61657199
13258,ID69217669
13260,ID35776622
13260,ID70107060
13394,ID87587523
13394,ID70508114
13395,ID14497000
13395,ID35156910
13401,ID69464236
13401,ID48346752
13402,ID69464236
13402,ID78911535
13404,ID96173168
13404,ID07720858
13408,ID84618507
13408,ID76859459
13415,ID42573912
13415,ID51401181
13420,ID71202918
13420,ID87409986
13444,ID61657199
13444,ID17802073
13465,ID31676821
13465,ID60338530
13468,ID20583529
13468,ID37224381
13472,ID21579257
13472,ID40876654
13552,ID73522592
13552,ID65742302
13592,ID27267451
13592,ID70399344
13610,ID46557256
13610,ID72018538
13691,ID99951801
13691,ID57253942
13960,ID49305920
13960,ID62606981
14093,ID73522592
14093,ID40619147
14118,ID24207705
14118,ID30954909
14161,ID63548279
14161,ID78459008
14348,ID93544363
14348,ID61780543
14552,ID49305920
14552,ID05037885
14680,ID87110947
14680,ID07432825
14766,ID44686006
14766,ID35251941
14883,ID77134168
14883,ID81964154
14907,ID96969441
14907,ID75057763
14999,ID01755963
14999,ID25343985
15251,ID69464236
15251,ID11348882
15344,ID21579257
15344,ID06673598
15429,ID90581933
15429,ID30882260
15516,ID73522592
15516,ID65742302
16028,ID32493641
16028,ID83522143
16044,ID68928451
16044,ID07271532
16049,ID72336161
16049,ID50183000
16284,ID63034309
16284,ID12047066
16432,ID84500842
16432,ID61912608
16466,ID59983227
16466,ID48979735
16833,ID69464236
16833,ID79615498
16852,ID57978417
16852,ID48136698
17162,ID26245690
17162,ID56440473
17393,ID57978417
17393,ID33374641
17902,ID32493641
17902,ID02339896
18464,ID35636420
18464,ID13201269
18583,ID32493641
18583,ID05209052
18778,ID48422470
18778,ID30251035
18810,ID05233588
18810,ID02827826
18812,ID73522592
18812,ID71271210
426,ID20984169
426,ID86878354
426,ID07228536
746,ID52859640
746,ID49612227
746,ID80525228
1354,ID25865180
1354,ID62473443
1354,ID44011951
2373,ID96173168
2373,ID41843961
2373,ID26909904
2384,ID27267451
2384,ID22897379
2384,ID28728170
2394,ID11568416
2394,ID22019454
2394,ID81944556
2701,ID38516754
2701,ID52004798
2701,ID40608989
3013,ID62461348
3013,ID18193928
3013,ID01726248
3327,ID96173168
3327,ID43509633
3327,ID17149114
3342,ID46599857
3342,ID64718502
3342,ID61905183
3482,ID33864287
3482,ID18213619
3482,ID53550870
3499,ID92025304
3499,ID93623664
3499,ID27280005
3805,ID62461348
3805,ID18193928
3805,ID24419652
4401,ID96173168
4401,ID01977414
4401,ID89131351
4610,ID91956986
4610,ID01485180
4610,ID24207705
4617,ID38322363
4617,ID72336161
4617,ID95761329
4618,ID96173168
4618,ID83781100
4618,ID28332486
4626,ID75451974
4626,ID15237067
4626,ID54641859
4627,ID96173168
4627,ID27197241
4627,ID95037383
4631,ID91956986
4631,ID24207705
4631,ID30954909
4640,ID30954909
4640,ID24207705
4640,ID45275903
4689,ID81889590
4689,ID57781041
4689,ID78408800
4715,ID33189892
4715,ID70399344
4715,ID27267451
4730,ID29922475
4730,ID00818935
4730,ID23985998
4906,ID71202918
4906,ID10125616
4906,ID50561799
5695,ID14709147
5695,ID23677134
5695,ID12911346
5749,ID05233588
5749,ID93464204
5749,ID62778874
5751,ID35494236
5751,ID18580636
5751,ID40260194
5752,ID27297731
5752,ID20721400
5752,ID25036500
5789,ID62461348
5789,ID25736766
5789,ID93272467
5795,ID74958156
5795,ID99407542
5795,ID46317068
5803,ID32493641
5803,ID29791150
5803,ID70247568
5807,ID96173168
5807,ID26909904
5807,ID28332486
5817,ID27267451
5817,ID18434233
5817,ID62597416
5995,ID35636420
5995,ID18601593
5995,ID22189871
6225,ID03533746
6225,ID95127907
6225,ID57719101
6399,ID96173168
6399,ID05609406
6399,ID09815498
6648,ID64870362
6648,ID48016050
6648,ID79875652
6943,ID25198302
6943,ID85268652
6943,ID18348652
6947,ID85268652
6947,ID85170860
6947,ID18348652
6967,ID87110947
6967,ID81804601
6967,ID16188193
7066,ID96173168
7066,ID32968678
7066,ID77347041
7253,ID35226988
7253,ID27297731
7253,ID83328235
7407,ID61901653
7407,ID81178896
7407,ID67172480
7511,ID07699076
7511,ID82429507
7511,ID63072990
7983,ID86364376
7983,ID83547544
7983,ID59858881
7996,ID87110947
7996,ID70040622
7996,ID42160486
8023,ID40319925
8023,ID87110947
8023,ID03194102
8113,ID52859640
8113,ID84837843
8113,ID01975270
8131,ID84546112
8131,ID62439981
8131,ID59781609
8221,ID61657199
8221,ID00697276
8221,ID18832031
8565,ID69464236
8565,ID77535122
8565,ID11348882
8568,ID69464236
8568,ID93847384
8568,ID32515759
8678,ID35776622
8678,ID84525184
8678,ID88892945
8871,ID56644787
8871,ID18712202
8871,ID43409484
8946,ID96173168
8946,ID05609406
8946,ID09815498
8971,ID99361449
8971,ID83461317
8971,ID00968635
8991,ID73002757
8991,ID31898532
8991,ID77617341
9111,ID52714515
9111,ID92028042
9111,ID49879256
9940,ID75451974
9940,ID48090599
9940,ID25318358
9950,ID86364376
9950,ID63003121
9950,ID88785975
10077,ID41310762
10077,ID39530372
10077,ID42970936
10121,ID96173168
10121,ID01977414
10121,ID65701292
10150,ID61657199
10150,ID42031867
10150,ID57189344
10158,ID64634908
10158,ID29882780
10158,ID99159091
10278,ID61657199
10278,ID00697276
10278,ID45333819
10281,ID61657199
10281,ID97021039
